Model,Perplexity,BLEU,ROUGE,Time,Size
gpt2,0.14780571607993648,0.11165159514051727,0.09318566453654432,0.06542211277663325,0.06262945776223706
distilgpt2,0.1305238169690516,0.10101810988903943,0.08496340001861394,0.04361474185108884,0.04141625432664064
t5-small,0.11506106513299671,0.13291856564347296,0.10414868389378483,0.08177764097079156,0.03030457633656632
flan-t5-base,0.1018722473904793,0.1488687935206897,0.11511170325102532,0.09813316916494988,0.12626906806902632
